email,birthdate,education,state,mbti,interests,purchases,experience
pereirahelena@example.net,22/05/2006,incomplete,RS,INTJ,education|accounting,,working
csilveira@example.com,21/12/1981,undergraduate,PB,INFP,architecture,,working
xnunes@example.org,06/05/2005,incomplete,RJ,ENTP,machine learning|database management,,working
hellenacirino@example.com,29/04/1981,undergraduate,GO,INTP,database management|journalism|advertising,,working on field of study
maysa99@example.net,26/01/1998,graduate,SC,INTP,web development,,working
pedro-miguelda-rosa@example.com,15/07/2004,incomplete,SP,ESFJ,literature|biology,,working
joanada-mota@example.com,16/07/1990,undergraduate,PR,INTP,mathematics|public relations,,working on field of study
maria-sophiaferreira@example.net,08/08/2000,undergraduate,CE,ENFJ,marketing|finance|electrical engineering,,working on field of study
benjamim61@example.net,23/05/1985,undergraduate,RS,ESFJ,history|biology,ANPEC,working
josue79@example.org,20/12/1990,undergraduate,MA,ESFP,performing arts,,working on field of study
macedomarina@example.net,10/09/1989,undergraduate,SP,INTP,architecture,,working
gael56@example.org,14/06/1985,undergraduate,RJ,ESFP,dentistry|law,,working on field of study
apollo16@example.org,02/06/2004,incomplete,MG,INFP,literature|marketing,,working
eduardada-luz@example.com,23/07/1997,highschool,SP,ENFP,mathematics,POSCOMP,working
mirella11@example.com,11/08/1995,undergraduate,SP,ENFJ,public policy|civil engineering|visual arts,,working
davi-lucas79@example.org,29/06/2007,incomplete,BA,INTJ,accounting|international relations|environmental science,,unemployed
rfreitas@example.net,11/05/1998,undergraduate,SC,ESFP,music|cybersecurity,,working
guilhermecampos@example.org,08/10/2006,incomplete,SC,ENFP,medicine,,unemployed
macedomanuela@example.org,14/11/1988,highschool,MS,ESTP,sports science|machine learning,,unemployed
qda-mota@example.net,29/10/1980,undergraduate,SP,INFJ,environmental science|machine learning|finance,,working
portoisadora@example.com,16/06/2002,incomplete,BA,ESFJ,visual arts|business administration,Vestibular UNICAMP,working
cavalcantepietra@example.com,20/10/1982,undergraduate,MG,ESTP,cybersecurity|public policy,,working
