ip,date,email,route,scroll_pct,time_spent,referrer,device
200.174.233.122,14/12/2027,rafael.gomes@uol.com.br,/cursos,24.66,179,chrome,desktop
189.37.72.134,23/12/2025,,/vestibular/FATEC,1.81,155,linkedin,desktop
189.212.110.72,01/07/2027,,/instituicoes,55.46,251,chrome,mobile
1.1.91.194,30/09/2026,beatrizrodrigues@outlook.com,/vestibular/ENEM,26.28,209,chrome,desktop
189.172.84.250,06/11/2027,,/cursos,88.8,253,lp,desktop
177.57.2.184,15/09/2026,,/,88.63,48,chrome,tablet
8.8.253.240,24/11/2027,,/cursos,60.19,237,lp,desktop
189.74.140.102,16/11/2025,,/instituicoes,8.99,57,firefox,mobile
200.174.19.16,05/02/2026,,/cursos,93.68,175,x,mobile
189.50.73.97,24/04/2026,,/cursos,15.53,60,firefox,tablet
177.183.25.253,02/08/2026,,/,62.74,89,chrome,mobile
1.1.55.61,20/07/2025,lucaspereira@icloud.com,/,65.62,124,opera,desktop
1.1.159.90,11/11/2026,,/instituicoes,87.44,105,chrome,mobile
177.59.135.38,15/10/2026,ana.lima25@globo.com,/cursos,57.24,110,lp,desktop
8.8.100.251,26/11/2026,rafael.ferreira69@yahoo.com,/instituicoes,43.82,151,safari,desktop
8.8.162.107,01/05/2027,,/vestibular/ENEM,26.77,300,safari,mobile
177.27.69.234,19/09/2025,julia.lima85@terra.com.br,/cursos,74.6,110,chrome,tablet
8.8.229.129,21/03/2025,,/vestibular/ENEM,72.94,220,firefox,mobile
189.44.221.176,22/10/2025,larissa.souza47@usp.br,/vestibular/FUVEST,92.44,201,safari,desktop
189.43.197.96,14/06/2026,joao.ferreira19@edu.br,/,26.35,196,share,tablet
1.1.207.97,08/03/2027,,/quiz,29.71,239,firefox,desktop
8.8.105.152,29/04/2026,,/,2.84,141,firefox,mobile
200.142.184.152,09/10/2025,,/,72.44,171,chrome,mobile
200.196.65.17,22/06/2025,c.rodrigues@fatec.sp.gov.br,/vestibular/ENEM,85.58,166,safari,desktop
8.8.44.199,04/05/2026,,/vestibular/ENEM,74.57,142,ig,vr
8.8.106.14,13/05/2026,,/quiz,30.95,50,safari,desktop
177.179.160.28,12/06/2025,,/,12.1,251,share,mobile
177.101.4.95,01/04/2026,,/quiz,59.7,98,chrome,mobile
189.57.100.105,16/12/2025,joao.silva@outlook.com,/vestibular/FUVEST,30.46,107,chrome,desktop
177.110.226.221,26/11/2027,beatriz.ferreira76@globo.com,/,6.1,248,duckduckgo,desktop
200.58.124.63,07/06/2026,,/cursos,73.09,178,chrome,mobile
200.121.75.19,03/06/2026,ana.silva95@icloud.com,/,22.22,178,lp,desktop
189.124.62.93,26/04/2026,,/,84.32,172,ig,desktop
200.49.157.195,20/05/2026,m.lima@usp.br,/vestibular/FUVEST,9.54,13,safari,tablet
189.157.95.71,28/07/2025,,/vestibular/ENEM,49.16,53,safari,desktop
8.8.37.154,07/04/2026,,/,90.76,39,chrome,mobile
200.35.106.62,23/04/2026,,/quiz,27.52,173,firefox,mobile
177.114.26.157,16/08/2026,rafael.alves54@protonmail.com,/cursos,59.04,192,safari,desktop
8.8.137.111,06/02/2025,,/instituicoes,65.42,173,chrome,mobile
177.72.149.219,20/06/2025,maria.lima@live.com,/,31.31,148,linkedin,tablet
8.8.120.7,10/10/2027,,/vestibular/FATEC,26.18,191,firefox,tablet
200.155.25.155,10/04/2027,,/,77.73,165,firefox,desktop
177.153.158.228,09/03/2025,,/instituicoes,74.32,218,chrome,desktop
200.95.135.195,19/11/2025,,/,10.89,93,chrome,desktop
8.8.141.35,03/09/2027,,/vestibular/ENEM,40.05,212,chrome,mobile
177.177.99.215,08/12/2027,,/,44.93,218,share,mobile
200.9.102.137,01/11/2025,,/,73.81,217,firefox,desktop
8.8.161.232,30/01/2027,pedro.souza91@hotmail.com,/vestibular/FUVEST,90.88,168,lp,desktop
177.33.33.224,13/10/2027,larissa.rodrigues@bol.com.br,/cursos,95.53,256,safari,desktop
1.1.4.53,31/10/2027,,/,78.06,334,share,mobile
8.8.119.116,17/12/2027,,/,51.14,128,opera,desktop
189.214.156.123,29/08/2025,,/vestibular/FUVEST,30.17,142,firefox,mobile
189.165.195.158,27/10/2027,joao.santos86@terra.com.br,/,85.94,200,safari,desktop
177.184.198.67,02/12/2026,,/instituicoes,6.39,219,chrome,desktop
189.231.54.116,19/08/2027,l.santos@edu.br,/instituicoes,57.22,32,safari,mobile
200.236.174.1,20/09/2027,,/vestibular/UNICAMP,24.3,170,firefox,mobile
189.176.198.237,02/08/2027,joao.alves2@ig.com.br,/vestibular/ENEM,64.42,261,firefox,desktop
200.104.224.112,05/03/2027,,/cursos,56.15,84,share,mobile
189.181.59.65,02/09/2027,,/instituicoes,55.07,167,tiktok,mobile
200.139.92.169,30/07/2027,,/vestibular/ENEM,26.76,249,chrome,mobile
8.8.140.80,30/03/2027,,/vestibular/FATEC,75.03,110,duckduckgo,mobile
